sentence_id,token_id,word,left_edge,right_edge,tag,tag_equiv,depth,stem
71,7,they,41,45,PRP,WP,11,thei
71,8,felt,45,49,VBD,VB,11,felt
71,9,that,49,53,IN,IN,10,that
71,10,they,53,57,PRP,WP,8,thei
71,11,could,57,62,MD,MD,8,could
71,12,not,62,65,RB,RB,8,not
71,13,go,65,67,VB,VB,7,go
71,14,through,67,74,RP,RP,6,through
71,15,with,74,78,IN,IN,6,with
71,16,it,78,80,PRP,WP,5,it
71,17,in,80,82,IN,IN,6,in
71,18,light,82,87,NN,NN,4,light
71,19,of,87,89,IN,IN,4,of
71,20,the,89,92,DT,DT,2,the
71,21,prognosis,92,101,NN,NN,2,prognosi
71,22,of,101,103,IN,IN,2,of
71,23,certain,103,110,JJ,JJ,1,certain
71,24,death,110,115,NN,NN,1,death
71,25,ex,115,117,NN,NN,1,ex
71,26,utero,117,122,NN,NN,1,utero
71,27,",",122,123,",",",",19,","
71,28,so,123,125,IN,IN,19,so
71,29,the,125,128,DT,DT,16,the
71,30,idea,128,132,NN,NN,16,idea
71,31,that,132,136,IN,IN,16,that
71,32,we,136,138,PRP,WP,14,we
71,33,would,138,143,MD,MD,14,would
71,34,ask,143,146,VB,VB,13,ask
71,35,people,146,152,NNS,NN,12,peopl
71,36,like,152,156,IN,IN,12,like
71,37,them,156,160,PRP,WP,10,them
71,38,to,160,162,TO,TO,10,to
71,39,FedEx,162,167,VB,VB,9,FedEx
71,40,their,167,172,PRP$,WP,8,their
71,41,little,172,178,JJ,JJ,8,littl
71,42,baby,178,182,NN,NN,8,babi
71,43,back,182,186,RB,RB,8,back
71,44,home,186,190,NN,NN,8,home
71,45,to,190,192,TO,TO,8,to
71,46,Ireland,192,199,NNP,NN,7,Ireland
71,47,is,199,201,VBZ,VB,17,is
71,48,inhumane,201,209,JJ,JJ,16,inhuman
71,49,.,209,210,.,.,19,.
72,0,For,0,3,IN,IN,4,For
72,1,that,3,7,DT,DT,3,that
72,2,reason,7,13,NN,NN,3,reason
72,3,",",13,14,",",",",5,","
72,4,the,14,17,DT,DT,3,the
72,5,recommendations,17,32,NNS,NN,3,recommend
72,6,in,32,34,IN,IN,3,in
72,7,the,34,37,DT,DT,2,the
72,8,report,37,43,NN,NN,2,report
72,9,are,43,46,VBP,VB,4,ar
72,10,critical,46,54,JJ,JJ,3,critic
72,11,to,54,56,TO,TO,2,to
72,12,this,56,60,DT,DT,1,thi
72,13,debate,60,66,NN,NN,1,debat
72,14,.,66,67,.,.,5,.
73,0,The,0,3,DT,DT,6,The
73,1,issue,3,8,NN,NN,6,issu
73,2,of,8,10,IN,IN,6,of
73,3,rape,10,14,NN,NN,5,rape
73,4,and,14,17,CC,CC,5,and
73,5,incest,17,23,NN,NN,5,incest
73,6,is,23,25,VBZ,VB,7,is
73,7,one,25,28,CD,CD,5,on
73,8,about,28,33,IN,IN,4,about
73,9,which,33,38,WDT,WDT,3,which
73,10,a,38,39,DT,DT,2,a
73,11,lot,39,42,NN,NN,2,lot
73,12,of,42,44,IN,IN,2,of
73,13,people,44,50,NNS,NN,1,peopl
73,14,speak,50,55,VBP,VB,3,speak
73,15,.,55,56,.,.,8,.
74,0,Even,0,4,RB,RB,7,Even
74,1,people,4,10,NNS,NN,4,peopl
74,2,with,10,14,IN,IN,4,with
74,3,quite,14,19,RB,RB,1,quit
74,4,conservative,19,31,JJ,JJ,1,conserv
74,5,views,31,36,NNS,NN,2,view
74,6,in,36,38,IN,IN,2,in
74,7,this,38,42,DT,DT,1,thi
74,8,area,42,46,NN,NN,1,area
74,9,will,46,50,MD,MD,5,will
74,10,say,50,53,VB,VB,4,sai
74,11,the,53,56,DT,DT,2,the
74,12,issue,56,61,NN,NN,2,issu
74,13,of,61,63,IN,IN,2,of
74,14,incest,63,69,NN,NN,1,incest
74,15,and,69,72,CC,CC,1,and
74,16,rape,72,76,NN,NN,1,rape
74,17,should,76,82,MD,MD,7,should
74,18,be,82,84,VB,VB,6,be
74,19,addressed,84,93,VBN,VB,5,address
74,20,.,93,94,.,.,8,.
75,0,All,0,3,DT,DT,12,All
75,1,of,3,5,IN,IN,12,of
